epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,7640.69,0.59459,0.86942,0.99875,0.36831,0.002575,0.002575,0.002575
77,7741.02,0.59022,0.86983,0.99883,0.36784,0.002476,0.002476,0.002476
78,7841.49,0.58396,0.86975,0.99883,0.36778,0.002377,0.002377,0.002377
79,7941.6,0.58554,0.87,0.99875,0.36677,0.002278,0.002278,0.002278
80,8041.79,0.58755,0.87,0.99883,0.36577,0.002179,0.002179,0.002179
81,8142.08,0.58006,0.87083,0.99883,0.36464,0.00208,0.00208,0.00208
82,8242.82,0.58152,0.87175,0.99883,0.36359,0.001981,0.001981,0.001981
83,8343.24,0.57839,0.87167,0.99883,0.3623,0.001882,0.001882,0.001882
84,8443.83,0.57251,0.87183,0.99883,0.36213,0.001783,0.001783,0.001783
85,8544.3,0.57584,0.872,0.99883,0.36164,0.001684,0.001684,0.001684
86,8644.87,0.57305,0.872,0.99883,0.3612,0.001585,0.001585,0.001585
87,8745.16,0.56708,0.87283,0.99883,0.36077,0.001486,0.001486,0.001486
88,8845.29,0.56342,0.87317,0.99883,0.36064,0.001387,0.001387,0.001387
89,8945.97,0.56631,0.87333,0.99883,0.36035,0.001288,0.001288,0.001288
90,9046.41,0.56139,0.87325,0.99883,0.36016,0.001189,0.001189,0.001189
91,9146.78,0.55875,0.87342,0.99892,0.35931,0.00109,0.00109,0.00109
92,9246.02,0.55445,0.87367,0.99892,0.35921,0.000991,0.000991,0.000991
93,9344.7,0.55352,0.87325,0.99892,0.35812,0.000892,0.000892,0.000892
94,9443.61,0.55286,0.87342,0.99892,0.3572,0.000793,0.000793,0.000793
95,9542.9,0.55174,0.8735,0.99892,0.356,0.000694,0.000694,0.000694
96,9641.75,0.54766,0.8735,0.99883,0.35603,0.000595,0.000595,0.000595
97,9740.73,0.54486,0.87375,0.99883,0.35545,0.000496,0.000496,0.000496
98,9839.8,0.53816,0.87408,0.99883,0.3547,0.000397,0.000397,0.000397
99,9938.75,0.54139,0.87375,0.99883,0.35464,0.000298,0.000298,0.000298
100,10037.6,0.54031,0.87383,0.99883,0.3536,0.000199,0.000199,0.000199
